Canonical_SMILES,Standardized_SMILES,Toxicity_Value
CC(C)(C)C(=O)N1CCN(c2ccc([N+](=O)[O-])c(NCC3CCCO3)c2)CC1,CC(C)(C)C(=O)N1CCN(c2ccc([N+](=O)[O-])c(NCC3CCCO3)c2)CC1,0
CCCC[C@@H]1C[C@H]1[C@@H](NP(=O)(c1ccccc1)c1ccccc1)c1ccc(Cl)cc1,CCCC[C@@H]1C[C@H]1[C@@H](NP(=O)(c1ccccc1)c1ccccc1)c1ccc(Cl)cc1,0
CC(C)C[C@@H](CC(=O)N[C@H](CC(=O)N[C@@H]1CCNC[C@H]1C(=O)N[C@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)CC(C)C)C(C)C)NC(=O)[C@@H]1CNCC[C@H]1N,CC(C)C[C@@H](CC(=O)N[C@H](CC(=O)N[C@@H]1CCNC[C@H]1C(=O)N[C@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)CC(C)C)C(C)C)NC(=O)[C@@H]1CNCC[C@H]1N,0
COC(=O)N1N=C(c2ccccc2)CC1(O)C(F)(F)F,COC(=O)N1N=C(c2ccccc2)CC1(O)C(F)(F)F,1
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)OC(=O)CC[C@@H]12,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)OC(=O)CC[C@@H]12,1
CC(=O)/C=C/C1C(C)=CCC(C)C1(C)C,CC(=O)/C=C/C1C(C)=CCC(C)C1(C)C,0
CCCCCCOC(=O)CCCCCCCC(=O)OCCCCCC,CCCCCCOC(=O)CCCCCCCC(=O)OCCCCCC,0
COc1ccc(/C=C/C(=O)NCc2cn(C)nc2C)cc1COc1ccc(Br)cc1,COc1ccc(/C=C/C(=O)NCc2cn(C)nc2C)cc1COc1ccc(Br)cc1,1
CC(C)(C)NC(=O)Cn1nnc(-c2ccccc2NC(=O)c2cnccn2)n1,CC(C)(C)NC(=O)Cn1nnc(-c2ccccc2NC(=O)c2cnccn2)n1,0
Oc1cccc(Nc2ccccc2)c1,Oc1cccc(Nc2ccccc2)c1,1
CC(C)CCCC(C)C1CCC2C3CC(=O)[C@H]4CC(O)CC[C@]4(C)C3CC[C@@]12C,CC(C)CCCC(C)C1CCC2C3CC(=O)[C@H]4CC(O)CC[C@]4(C)C3CC[C@@]12C,0
COC(=O)[C@@]1(Cc2ccc(OC)cc2)[C@H]2c3cc(C(=O)N(C)C)n(C)c3C[C@H]2CN1C(=O)c1ccccc1,COC(=O)[C@@]1(Cc2ccc(OC)cc2)[C@H]2c3cc(C(=O)N(C)C)n(C)c3C[C@H]2CN1C(=O)c1ccccc1,0
ClCCBr,ClCCBr,0
Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(=O)Nc3cc(C(=O)Nc4ccc(S(=O)(=O)O)c5cc(S(=O)(=O)O)cc(S(=O)(=O)O)c45)ccc3C)c2)c1,Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(=O)Nc3cc(C(=O)Nc4ccc(S(=O)(=O)O)c5cc(S(=O)(=O)O)cc(S(=O)(=O)O)c45)ccc3C)c2)c1,0
CC(C)=CCC/C(C)=C/CO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(C(C)(C)C)C(=O)[C@H]3CC[C@@H]12,CC(C)=CCC/C(C)=C/CO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(C(C)(C)C)C(=O)[C@H]3CC[C@@H]12,0
O=C(CC(=O)N/N=C\c1c(Cl)cccc1Cl)NCc1ccccc1,O=C(CC(=O)N/N=C\c1c(Cl)cccc1Cl)NCc1ccccc1,1
N=C1C=CC(=C(c2ccc(N)cc2)c2ccc(N)cc2)C=C1,N=C1C=CC(=C(c2ccc(N)cc2)c2ccc(N)cc2)C=C1,0
CCCCCCCCc1ccc(O)cc1,CCCCCCCCc1ccc(O)cc1,1
Cc1cnn(CCC(=O)NNC(=S)Nc2cccc(Cl)c2)c1,Cc1cnn(CCC(=O)NNC(=S)Nc2cccc(Cl)c2)c1,0
COc1cccc(-c2nc(NCCNC(C)=O)c3ccccc3n2)c1,COc1cccc(-c2nc(NCCNC(C)=O)c3ccccc3n2)c1,1
CC(C)CCCCCOC(=O)CCS,CC(C)CCCCCOC(=O)CCS,0
Cn1ccnc1,Cn1ccnc1,0
COc1ccc(C(=O)/C=C2/c3ccccc3CC(C)(C)N2C)cc1,COc1ccc(C(=O)/C=C2/c3ccccc3CC(C)(C)N2C)cc1,1
CCOc1cc(C)ccc1OCc1nnc(SCC(=O)c2cccc([N+](=O)[O-])c2)n1C,CCOc1cc(C)ccc1OCc1nnc(SCC(=O)c2cccc([N+](=O)[O-])c2)n1C,1
C(=C/c1nnc(-c2cccs2)o1)\c1ccccc1,C(=C/c1nnc(-c2cccs2)o1)\c1ccccc1,1
CCC(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,CCC(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,0
Cc1cc(C)c(NC(=O)C[C@H](CC(=O)[O-])c2cccc3ccccc23)c(C(=O)N2CCC3(CCCC3)CC2)c1.[Na+],Cc1cc(C)c(NC(=O)C[C@H](CC(=O)O)c2cccc3ccccc23)c(C(=O)N2CCC3(CCCC3)CC2)c1,1
CCNC(=O)COC(=O)c1cc(-c2ccc(OC)cc2)nc2ccccc12,CCNC(=O)COC(=O)c1cc(-c2ccc(OC)cc2)nc2ccccc12,1
CC(C)CC(=O)N1CCN(Cc2cccc(F)c2)CC1,CC(C)CC(=O)N1CCN(Cc2cccc(F)c2)CC1,1
CCC(=O)OC/C=C/c1ccccc1,CCC(=O)OC/C=C/c1ccccc1,1
Cc1cccc(NC(=O)C2(c3ccc([N+](=O)[O-])cc3)CCCC2)c1,Cc1cccc(NC(=O)C2(c3ccc([N+](=O)[O-])cc3)CCCC2)c1,1
COCCn1c(C)cc(C2=NN=C(Nc3ccc(F)cc3)SC2)c1C,COCCn1c(C)cc(C2=NN=C(Nc3ccc(F)cc3)SC2)c1C,0
O=C(CSc1nnc(Cn2nnc3ccccc32)o1)Nc1cccc(Cl)c1,O=C(CSc1nnc(Cn2nnc3ccccc32)o1)Nc1cccc(Cl)c1,1
c1cncc(CNc2cc(-c3ccc4c(c3)OCO4)ncn2)c1,c1cncc(CNc2cc(-c3ccc4c(c3)OCO4)ncn2)c1,1
Cc1nn(Cc2c(Cl)cccc2Cl)c(C)c1NC(=O)c1cnn2c(C(F)F)cc(-c3ccccc3)nc12,Cc1nn(Cc2c(Cl)cccc2Cl)c(C)c1NC(=O)c1cnn2c(C(F)F)cc(-c3ccccc3)nc12,1
CCCCN1C(=O)/C(=C\c2ccco2)C(=O)N(CCc2ccccc2)C1=O,CCCCN1C(=O)/C(=C\c2ccco2)C(=O)N(CCc2ccccc2)C1=O,1
CC[C@H](CO)NC(=O)[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,CC[C@H](CO)NC(=O)[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,0
CCNC(=S)NS(=O)(=O)c1ccccc1,CCNC(=S)NS(=O)(=O)c1ccccc1,0
COc1ccc2[nH]cc(CCNc3cc(-c4ccccc4C(F)(F)F)ncn3)c2c1,COc1ccc2[nH]cc(CCNc3cc(-c4ccccc4C(F)(F)F)ncn3)c2c1,1
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,1
Cc1cccc(CNc2ncncc2-c2ccccc2CN(C)C)c1,Cc1cccc(CNc2ncncc2-c2ccccc2CN(C)C)c1,1
COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,0
O=C(O)C[C@H](Cc1ccccc1)C(=O)O,O=C(O)C[C@H](Cc1ccccc1)C(=O)O,0
CNC1=C(Cl)C(=O)c2ccncc2C1=O,CNC1=C(Cl)C(=O)c2ccncc2C1=O,1
Br.COc1ccc2c(c1)[C@@]13CCCCC1[C@@H](C2)N(C)CC3.O,COc1ccc2c(c1)[C@@]13CCCCC1[C@@H](C2)N(C)CC3,0
CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CO)NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCC(=O)N1)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCSC)C(N)=O,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CO)NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCC(=O)N1)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCSC)C(N)=O,0
O=C(O)COCC(=O)O,O=C(O)COCC(=O)O,0
Nc1nc(-c2cc(-c3cccc4ccccc34)nc(N)n2)cc(-c2cccc3ccccc23)n1,Nc1nc(-c2cc(-c3cccc4ccccc34)nc(N)n2)cc(-c2cccc3ccccc23)n1,0
CC1(C)CCC2=C(O1)c1ccccc1C(=O)C2=O,CC1(C)CCC2=C(O1)c1ccccc1C(=O)C2=O,1
CN(C)C(=N)NC(=N)N,CN(C)C(=N)NC(=N)N,0
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)[C@H]1c1cccc(Cl)c1Cl,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)[C@H]1c1cccc(Cl)c1Cl,1
Cc1ccccc1OCCNC(=S)Nc1ccccc1,Cc1ccccc1OCCNC(=S)Nc1ccccc1,1
Cc1noc(C)c1-c1nc(Nc2ccc(F)cc2)c2ccccc2n1,Cc1noc(C)c1-c1nc(Nc2ccc(F)cc2)c2ccccc2n1,1
CCCC(=O)Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC2C1OC(=O)CCC,CCCC(=O)Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC2C1OC(=O)CCC,0
COc1ccc2c(c1)c(CC(=O)N1CCOCC1)c(C)n2C(=O)c1ccc(Cl)cc1,COc1ccc2c(c1)c(CC(=O)N1CCOCC1)c(C)n2C(=O)c1ccc(Cl)cc1,0
C/C(CCC(=O)OC[C@@H]1O[C@H](C#Cc2ccccc2)C=C[C@@H]1Oc1ccc(C)cc1)=N/O[C@@H](C)c1cn([C@H](CO)Cc2ccccc2)nn1,C/C(CCC(=O)OC[C@@H]1O[C@H](C#Cc2ccccc2)C=C[C@@H]1Oc1ccc(C)cc1)=N/O[C@@H](C)c1cn([C@H](CO)Cc2ccccc2)nn1,0
CN(C)Cc1ccccc1-c1ccc2ncnc(N(C)C)c2c1,CN(C)Cc1ccccc1-c1ccc2ncnc(N(C)C)c2c1,0
Cc1ccnc(NCn2nnc3ccccc32)c1,Cc1ccnc(NCn2nnc3ccccc32)c1,1
Cc1c(O)cccc1O,Cc1c(O)cccc1O,0
Cc1ccccc1C(=O)N1CCN(c2ccc([N+](=O)[O-])c(N3CCOCC3)c2)CC1,Cc1ccccc1C(=O)N1CCN(c2ccc([N+](=O)[O-])c(N3CCOCC3)c2)CC1,1
Oc1ccc(-c2nc(-c3ccncc3)c(-c3ccc(F)cc3)[nH]2)cc1,Oc1ccc(-c2nc(-c3ccncc3)c(-c3ccc(F)cc3)[nH]2)cc1,1
CCc1nnc(NC(=O)c2c(C)nn(-c3ccccc3)c2Cl)s1,CCc1nnc(NC(=O)c2c(C)nn(-c3ccccc3)c2Cl)s1,1
CC(=O)N(CC(O)CN(C(C)=O)c1c(I)c(C(=O)NC[C@@H](O)CO)c(I)c(C(=O)NC[C@@H](O)CO)c1I)c1c(I)c(C(=O)NC[C@@H](O)CO)c(I)c(C(=O)NC[C@@H](O)CO)c1I,CC(=O)N(CC(O)CN(C(C)=O)c1c(I)c(C(=O)NC[C@@H](O)CO)c(I)c(C(=O)NC[C@@H](O)CO)c1I)c1c(I)c(C(=O)NC[C@@H](O)CO)c(I)c(C(=O)NC[C@@H](O)CO)c1I,0
CCCCCCCCCCCCCCCCCCOC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC,CCCCCCCCCCCCCCCCCCOC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC,0
Nc1ccc(Cc2ccc(N)c(Cl)c2)cc1Cl,Nc1ccc(Cc2ccc(N)c(Cl)c2)cc1Cl,1
COc1ccc(CCNc2nc(-c3cccnc3)cs2)cc1OC,COc1ccc(CCNc2nc(-c3cccnc3)cs2)cc1OC,1
O=C(/C=C/c1ccc2ccccc2c1)c1ccoc1,O=C(/C=C/c1ccc2ccccc2c1)c1ccoc1,1
CCC1=C(C[C@H]2NCCc3ccccc32)C[C@@H]2c3cc(OC)c(OC)cc3CCN2C1,CCC1=C(C[C@H]2NCCc3ccccc32)C[C@@H]2c3cc(OC)c(OC)cc3CCN2C1,0
CCOc1ccccc1OCCOc1ccc(F)cc1,CCOc1ccccc1OCCOc1ccc(F)cc1,1
COC(=O)c1ccc(Oc2cc(C)nc(-n3nc(C)cc3C)n2)cc1,COC(=O)c1ccc(Oc2cc(C)nc(-n3nc(C)cc3C)n2)cc1,1
O=C(O)[C@H]1CCCNC1,O=C(O)[C@H]1CCCNC1,0
CC(=O)O[C@@]1(C(C)=O)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C,CC(=O)O[C@@]1(C(C)=O)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C,0
CCCCn1nnnc1SCC(=O)N1CCCC1,CCCCn1nnnc1SCC(=O)N1CCCC1,0
Oc1cc2c(cc1O)CN(C(=S)NCCc1ccc(Cl)cc1)CCC2,Oc1cc2c(cc1O)CN(C(=S)NCCc1ccc(Cl)cc1)CCC2,1
O=C1C=C2C[C@]3(O)COc4cc(O)ccc4C3=C2C=C1O,O=C1C=C2C[C@]3(O)COc4cc(O)ccc4C3=C2C=C1O,0
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@H]2[C@H]1CC[C@H]1C(=O)N(c3ccc(F)cc3F)C(=O)[C@H]21,C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@H]3C(=O)N(c4ccc(F)cc4F)C(=O)[C@@H]3CC[C@@H]12,0
O[C@@H]([C@H](O)[C@H](O)CBr)[C@H](O)CBr,O[C@@H]([C@H](O)[C@H](O)CBr)[C@H](O)CBr,0
CCc1ccccc1N1C(=O)c2cccc3c(N4CCOCC4)c([N+](=O)[O-])cc(c23)C1=O,CCc1ccccc1N1C(=O)c2cccc3c(N4CCOCC4)c([N+](=O)[O-])cc(c23)C1=O,1
O=C(NCc1ccccc1)C(c1ccc(F)cc1)N(Cc1ccco1)C(=O)c1ccccn1,O=C(NCc1ccccc1)C(c1ccc(F)cc1)N(Cc1ccco1)C(=O)c1ccccn1,1
NCC[C@H](N)C(=O)O,NCC[C@H](N)C(=O)O,0
O=C(Cl)/C=C/C(=O)Cl,O=C(Cl)/C=C/C(=O)Cl,0
COP(=O)(NC(C)=O)SC,COP(=O)(NC(C)=O)SC,0
CCC(=O)OCCOc1ccccc1,CCC(=O)OCCOc1ccccc1,0
C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(O)=C(C#N)C[C@]35C)[C@@H]1CC[C@@H]2O,C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(O)=C(C#N)C[C@]35C)[C@@H]1CC[C@@H]2O,1
COc1ccc(NC(=O)NCCCN2CCCCC2C)cc1,COc1ccc(NC(=O)NCCCN2CCCCC2C)cc1,1
